Country,Date,Vaccine,Total Vaccinations
Austria,2021-01,Johnson&Johnson,4
Austria,2021-01,Moderna,4788
Austria,2021-01,Novavax,0
Austria,2021-01,Oxford/AstraZeneca,0
Austria,2021-01,Pfizer/BioNTech,624094
Austria,2021-02,Johnson&Johnson,5
Austria,2021-02,Moderna,53505
Austria,2021-02,Novavax,0
Austria,2021-02,Oxford/AstraZeneca,156284
Austria,2021-02,Pfizer/BioNTech,1928666
Austria,2021-03,Johnson&Johnson,110
Austria,2021-03,Moderna,264861
Austria,2021-03,Novavax,0
Austria,2021-03,Oxford/AstraZeneca,1088724
Austria,2021-03,Pfizer/BioNTech,3679196
Austria,2021-04,Johnson&Johnson,1336
Austria,2021-04,Moderna,1112284
Austria,2021-04,Novavax,0
Austria,2021-04,Oxford/AstraZeneca,2916445
Austria,2021-04,Pfizer/BioNTech,8863237
Austria,2021-05,Johnson&Johnson,86469
Austria,2021-05,Moderna,1750192
Austria,2021-05,Novavax,0
Austria,2021-05,Oxford/AstraZeneca,3502858
Austria,2021-05,Pfizer/BioNTech,12546926
Austria,2021-06,Johnson&Johnson,348260
Austria,2021-06,Moderna,2675143
Austria,2021-06,Novavax,0
Austria,2021-06,Oxford/AstraZeneca,4712378
Austria,2021-06,Pfizer/BioNTech,19200610
Austria,2021-07,Johnson&Johnson,868778
Austria,2021-07,Moderna,4521415
Austria,2021-07,Novavax,0
Austria,2021-07,Oxford/AstraZeneca,7435833
Austria,2021-07,Pfizer/BioNTech,32892377
Austria,2021-08,Johnson&Johnson,963165
Austria,2021-08,Moderna,4043700
Austria,2021-08,Novavax,0
Austria,2021-08,Oxford/AstraZeneca,6303467
Austria,2021-08,Pfizer/BioNTech,30240287
Austria,2021-09,Johnson&Johnson,1177474
Austria,2021-09,Moderna,4144420
Austria,2021-09,Novavax,0
Austria,2021-09,Oxford/AstraZeneca,6333340
Austria,2021-09,Pfizer/BioNTech,31636736
Austria,2021-10,Johnson&Johnson,1650129
Austria,2021-10,Moderna,5310309
Austria,2021-10,Novavax,0
Austria,2021-10,Oxford/AstraZeneca,7930700
Austria,2021-10,Pfizer/BioNTech,41996221
Austria,2021-11,Johnson&Johnson,1397760
Austria,2021-11,Moderna,4611461
Austria,2021-11,Novavax,0
Austria,2021-11,Oxford/AstraZeneca,6349320
Austria,2021-11,Pfizer/BioNTech,39011846
Austria,2021-12,Johnson&Johnson,1788166
Austria,2021-12,Moderna,7079872
Austria,2021-12,Novavax,0
Austria,2021-12,Oxford/AstraZeneca,7940135
Austria,2021-12,Pfizer/BioNTech,62088963
Austria,2022-01,Johnson&Johnson,1449796
Austria,2022-01,Moderna,6148546
Austria,2022-01,Novavax,0
Austria,2022-01,Oxford/AstraZeneca,6352594
Austria,2022-01,Pfizer/BioNTech,55153127
Austria,2022-02,Johnson&Johnson,1453410
Austria,2022-02,Moderna,6311547
Austria,2022-02,Novavax,14
Austria,2022-02,Oxford/AstraZeneca,6352825
Austria,2022-02,Pfizer/BioNTech,57660263
Austria,2022-03,Johnson&Johnson,1454083
Austria,2022-03,Moderna,6336824
Austria,2022-03,Novavax,11805
Austria,2022-03,Oxford/AstraZeneca,6352880
Austria,2022-03,Pfizer/BioNTech,58244796
Belgium,2021-01,Johnson&Johnson,0
Belgium,2021-01,Moderna,10954
Belgium,2021-01,Novavax,0
Belgium,2021-01,Oxford/AstraZeneca,0
Belgium,2021-01,Pfizer/BioNTech,740119
Belgium,2021-02,Johnson&Johnson,0
Belgium,2021-02,Moderna,106138
Belgium,2021-02,Novavax,0
Belgium,2021-02,Oxford/AstraZeneca,57587
Belgium,2021-02,Pfizer/BioNTech,2573618
Belgium,2021-03,Johnson&Johnson,0
Belgium,2021-03,Moderna,313344
