Country,Date,Total Vaccinations Per Hundred,People Vaccinated Per Hundred,People Fully Vaccinated Per Hundred
Austria,2021-01,6.959999999999999,6.65,0.31
Austria,2021-02,23.68,15.08,8.579999999999998
Austria,2021-03,55.71,40.75,14.96
Austria,2021-04,142.68,102.35,40.35
Austria,2021-05,197.94,143.26,55.61
Austria,2021-06,298.04,195.03,106.84
Austria,2021-07,505.79999999999995,287.84000000000003,227.53000000000003
Austria,2021-08,459.68,243.26999999999998,226.95999999999998
Austria,2021-09,478.96000000000004,252.11,238.9
Austria,2021-10,629.36,326.12,309.48
Austria,2021-11,568.29,276.1,256.04999999999995
Austria,2021-12,872.76,364.12,339.69000000000005
Austria,2022-01,764.4000000000001,298.02,284.16999999999996
Austria,2022-02,793.97,300.6,289.49
Austria,2022-03,800.87,301.25,291.21
Belgium,2020-12,0.02,0.02,0.0
Belgium,2021-01,37.43,36.47,0.98
Belgium,2021-02,153.24999999999997,99.71,53.75
Belgium,2021-03,371.1300000000001,251.99000000000004,119.48
Belgium,2021-04,770.8999999999999,583.73,187.85000000000005
Belgium,2021-05,1455.45,1071.7100000000003,394.61000000000007
Belgium,2021-06,2360.1899999999996,1558.17,848.5800000000002
Belgium,2021-07,3448.389999999999,2072.61,1457.3600000000004
Belgium,2021-08,4185.46,2223.5499999999997,2055.7
Belgium,2021-09,4273.07,2209.8199999999997,2153.7900000000004
Belgium,2021-10,4602.68,2319.5,2278.7499999999995
Belgium,2021-11,4674.120000000001,2274.43,2237.69
Belgium,2021-12,5458.19,2373.4900000000007,2341.2
Belgium,2022-01,6185.919999999997,2406.65,2358.63
Belgium,2022-02,5937.899999999999,2214.120000000001,2165.7799999999997
Belgium,2022-03,5623.769999999999,2062.379999999999,2036.2200000000005
Bulgaria,2020-12,0.09000000000000001,0.09000000000000001,0
Bulgaria,2021-01,8.639999999999999,7.27,1.4
Bulgaria,2021-02,40.26,30.689999999999998,9.579999999999998
Bulgaria,2021-03,157.16000000000003,127.85000000000002,29.330000000000002
Bulgaria,2021-04,273.21999999999997,214.75999999999996,58.39999999999999
Bulgaria,2021-05,498.09000000000003,317.26,180.81999999999996
Bulgaria,2021-06,695.3599999999999,386.9799999999999,308.32
Bulgaria,2021-07,462.20000000000005,245.41000000000005,216.80999999999997
Bulgaria,2021-08,976.09,261.63,487.61
Bulgaria,2021-09,1059.91,0,546.9999999999999
Bulgaria,2021-10,1156.0100000000002,42.64,589.5299999999999
Bulgaria,2021-11,1306.4299999999998,25.9,692.52
Bulgaria,2021-12,1593.5000000000002,27.61,808.5899999999998
Bulgaria,2022-01,1787.5800000000004,0,880.8799999999999
Bulgaria,2022-02,1662.9899999999996,30.06,793.7199999999998
Bulgaria,2022-03,1694.14,60.31,356.4
Croatia,2020-12,0.19,0.19,0
Croatia,2021-01,12.990000000000002,9.149999999999999,0.29
Croatia,2021-02,31.58,20.299999999999997,11.329999999999998
Croatia,2021-03,75.95,59.8,16.11
Croatia,2021-04,461.6500000000001,368.95,92.65000000000002
Croatia,2021-05,958.2400000000001,724.7099999999999,233.51000000000005
Croatia,2021-06,1285.3799999999997,827.5200000000002,457.83
Croatia,2021-07,1834.9600000000003,1004.2600000000001,830.6799999999998
Croatia,2021-08,2177.6699999999996,1154.4100000000003,1063.1899999999998
Croatia,2021-09,2384.3699999999994,1261.22,239.27
Croatia,2021-10,2244.5199999999995,1055.7799999999997,861.9499999999999
Croatia,2021-11,2483.6000000000004,1317.04,1098.48
Croatia,2021-12,3188.94,1588.0500000000002,285.83000000000004
Croatia,2022-01,3754.2300000000005,1675.46,1436.9099999999999
Croatia,2022-02,3540.9900000000007,1579.3,1304.9899999999998
Croatia,2022-03,3446.97,1527.2999999999993,1259.2699999999995
Cyprus,2021-01,7.08,6.15,0.85
Cyprus,2021-02,30.67,20.96,9.719999999999999
Cyprus,2021-03,25.53,18.3,7.22
Cyprus,2021-04,180.44,131.12,49.32
Cyprus,2021-05,815.89,586.41,229.49999999999997
Cyprus,2021-06,1325.4899999999998,803.37,522.1400000000001
Cyprus,2021-07,2238.4199999999996,1216.72,1021.6899999999999
Cyprus,2021-08,1976.4500000000003,1051.52,924.95
Cyprus,2021-09,2011.9600000000003,1047.6200000000001,960.54
Cyprus,2021-10,1596.7499999999998,803.97,755.5999999999999
Cyprus,2021-11,1677.8500000000001,819.5300000000001,771.7099999999998
Cyprus,2021-12,1595.1200000000001,636.4599999999999,664.0400000000001
Cyprus,2022-01,2023.5599999999997,804.6999999999999,764.5
Cyprus,2022-02,2938.17,1148.8999999999999,1073.9699999999998
Czechia,2020-12,0.32,0.32,0.0
Czechia,2021-01,37.77,35.27,2.48
Czechia,2021-02,126.14,82.99999999999999,43.17
Czechia,2021-03,348.85999999999996,248.76999999999998,100.03999999999999
Czechia,2021-04,676.6999999999999,450.56,226.39999999999998
Czechia,2021-05,1232.1199999999997,898.12,340.79999999999995
Czechia,2021-06,1934.1699999999998,1295.44,658.72
Czechia,2021-07,2731.8899999999994,1559.9300000000003,1204.2500000000002
Czechia,2021-08,3194.0499999999997,1691.67,1553.49
Czechia,2021-09,3277.6600000000008,1691.3099999999997,1648.2900000000002
Czechia,2021-10,3476.7999999999997,1779.9200000000003,1748.31
Czechia,2021-11,3612.9300000000003,1809.6999999999998,1744.8500000000004
Czechia,2021-12,4245.049999999999,1956.88,1891.6499999999996
Czechia,2022-01,4746.28,1990.8399999999997,1946.1999999999998
Czechia,2022-02,4511.230000000001,1811.4400000000005,1781.7199999999996
Czechia,2022-03,4718.290000000001,1878.769999999999,1853.2300000000005
Denmark,2020-12,1.49,1.49,0.0
Denmark,2021-01,74.46,67.34,7.1
Denmark,2021-02,188.63999999999996,119.20000000000002,69.47
Denmark,2021-03,441.82000000000005,303.94000000000005,137.82999999999998
Denmark,2021-04,754.2200000000001,510.6299999999999,243.54999999999995
Denmark,2021-05,1417.13,892.21,524.9399999999999
Denmark,2021-06,2222.1200000000003,1438.02,799.0199999999999
Denmark,2021-07,3371.51,2026.46,1369.5699999999997
Denmark,2021-08,4280.09,2295.28,2009.31
Denmark,2021-09,4479.18,2277.1200000000003,2212.23
Denmark,2021-10,4766.53,2371.63,2338.7900000000004
Denmark,2021-11,4854.940000000001,2326.41,2290.82
Denmark,2021-12,5819.900000000001,2502.8799999999997,2416.07
Denmark,2022-01,6797.1100000000015,2571.6799999999994,2516.1899999999996
Denmark,2022-02,6331.729999999999,2330.38,2307.080000000001
Denmark,2022-03,6356.619999999999,2331.51,2311.709999999999
Estonia,2020-12,0.45,0.45,0.0
Estonia,2021-01,43.019999999999996,38.18999999999999,6.01
Estonia,2021-02,156.25,107.75,50.980000000000004
Estonia,2021-03,459.38000000000005,336.94,130.99999999999997
Estonia,2021-04,815.6,622.5099999999999,210.32000000000002
Estonia,2021-05,1368.8399999999997,946.9700000000003,461.44000000000005
Estonia,2021-06,1919.6100000000001,1193.21,815.7599999999999
Estonia,2021-07,2459.520000000001,1396.3199999999997,1198.2
Estonia,2021-08,2829.59,1613.58,1413.5499999999997
Estonia,2021-09,2996.4500000000003,1683.6100000000001,1534.0500000000002
Estonia,2021-10,3304.7500000000005,1808.27,1726.62
Estonia,2021-11,3581.8399999999997,1847.0799999999997,1755.8799999999997
Estonia,2021-12,4072.869999999999,1954.61,1885.3800000000003
Estonia,2022-01,4375.91,1986.5600000000002,1934.0999999999997
Estonia,2022-02,4100.7699999999995,1808.9400000000012,1767.8799999999997
Estonia,2022-03,4298.9,1878.5099999999993,1841.769999999999
Finland,2021-01,6.48,6.03,0.43999999999999995
Finland,2021-02,24.71,19.58,5.13
Finland,2021-03,55.870000000000005,49.39,6.48
Finland,2021-04,100.19,91.51,8.700000000000001
Finland,2021-05,219.47,191.29,28.18
Finland,2021-06,271.18,213.36,57.81999999999999
Finland,2021-07,359.16,253.82,105.34
Finland,2021-08,562.49,348.11,214.36
Finland,2021-09,526.63,295.22,231.1
Finland,2021-10,718.1899999999999,377.49000000000007,334.75
Finland,2021-11,608.74,230.42000000000002,287.68
Finland,2021-12,1511.93,0,146.82999999999998
Finland,2022-01,3537.87,774.9800000000001,742.0899999999999
Finland,2022-02,4896.490000000001,637.8900000000001,1815.62
Finland,2022-03,2283.51,564.98,842.7199999999998
France,2020-12,0.0,0.0,0
France,2021-01,29.4,29.140000000000008,0.27
France,2021-02,134.76000000000002,102.00000000000001,32.730000000000004
France,2021-03,372.12000000000006,266.76,105.38000000000001
France,2021-04,748.8000000000001,551.84,197.06
France,2021-05,1377.11,971.1800000000001,412.45000000000005
France,2021-06,2076.4300000000003,1393.31,700.9799999999999
France,2021-07,2983.6399999999994,1756.2400000000002,1255.27
France,2021-08,3775.6,2150.96,1662.84
France,2021-09,4127.279999999999,2233.59,1911.0400000000002
France,2021-10,4499.01,2362.4599999999996,2087.41
France,2021-11,4563.929999999999,2317.44,2072.1399999999994
France,2021-12,5335.719999999999,2425.1599999999994,2227.8999999999996
France,2022-01,6047.609999999999,2459.4599999999996,2329.35
France,2022-02,5786.029999999999,2238.0600000000004,2159.8
France,2022-03,5867.369999999998,2241.639999999999,2175.8100000000004
Germany,2020-12,0.63,0.63,0.0
Germany,2021-01,46.51,41.24000000000001,5.239999999999999
Germany,2021-02,147.46,97.72000000000001,49.72
Germany,2021-03,376.05000000000007,259.06,116.98000000000002
Germany,2021-04,756.15,563.4300000000001,192.75000000000003
Germany,2021-05,1503.6900000000003,1132.86,375.52
Germany,2021-06,2283.7900000000004,1486.9299999999998,847.06
Germany,2021-07,3158.08,1840.95,1399.3600000000001
Germany,2021-08,3632.3400000000006,1963.3700000000001,1766.8800000000003
Germany,2021-09,3767.37,1994.76,1869.47
Germany,2021-10,4070.86,2119.33,2022.69
